id	species	location	iso2	iso3	country	state	intregion	region
EPI_ISL_419721	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_419728	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_419727	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_419726	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_419725	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_420709	Human	Europe / United Kingdom / England	GB	GBR	United Kingdom	England	Northern Europe	Europe
EPI_ISL_419719	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_419718	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_420706	Human	Europe / United Kingdom / England	GB	GBR	United Kingdom	England	Northern Europe	Europe
EPI_ISL_420705	Human	Europe / United Kingdom / England	GB	GBR	United Kingdom	England	Northern Europe	Europe
EPI_ISL_420708	Human	Europe / United Kingdom / England	GB	GBR	United Kingdom	England	Northern Europe	Europe
EPI_ISL_420707	Human	Europe / United Kingdom / England	GB	GBR	United Kingdom	England	Northern Europe	Europe
EPI_ISL_420702	Human	Europe / United Kingdom / England	GB	GBR	United Kingdom	England	Northern Europe	Europe
EPI_ISL_420701	Human	Europe / United Kingdom / England	GB	GBR	United Kingdom	England	Northern Europe	Europe
EPI_ISL_420704	Human	Europe / United Kingdom / England	GB	GBR	United Kingdom	England	Northern Europe	Europe
EPI_ISL_420703	Human	Europe / United Kingdom / England	GB	GBR	United Kingdom	England	Northern Europe	Europe
EPI_ISL_420700	Human	Europe / United Kingdom / England	GB	GBR	United Kingdom	England	Northern Europe	Europe
EPI_ISL_419713	Human	North America / USA / Virginia	US	USA	USA	Virginia	Northern America	North America
EPI_ISL_419712	Human	North America / USA / Virginia	US	USA	USA	Virginia	Northern America	North America
EPI_ISL_419711	Human	North America /USA / Virginia	US	USA	USA	Virginia	Northern America	North America
EPI_ISL_419710	Human	North America / USA / Virginia	US	USA	USA	Virginia	Northern America	North America
EPI_ISL_419717	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_419716	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_419715	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_419714	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_419709	Human	Europe / Spain / BasqueCountry	ES	ESP	Spain	BasqueCountry	Southern Europe	Europe
EPI_ISL_419708	Human	North America / USA / Virginia	US	USA	USA	Virginia	Northern America	North America
EPI_ISL_419707	Human	Europe / Spain / Catalonia	ES	ESP	Spain	Catalonia	Southern Europe	Europe
EPI_ISL_418411	Human	Europe / Finland / Helsinki	FI	FIN	Finland	Helsinki	Northern Europe	Europe
EPI_ISL_419742	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_418410	Human	Europe / Finland / Helsinki	FI	FIN	Finland	Helsinki	Northern Europe	Europe
EPI_ISL_419741	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_419740	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_418415	Human	Europe / France / ARA / Valence	FR	FRA	France	Auvergne-Rhone-Alpes	Western Europe	Europe
EPI_ISL_419746	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_418414	Human	Europe / France / ARA / Valence	FR	FRA	France	Auvergne-Rhone-Alpes	Western Europe	Europe
EPI_ISL_419745	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_418413	Human	Europe / France / ARA / Macon	FR	FRA	France	Auvergne-Rhone-Alpes	Western Europe	Europe
EPI_ISL_419744	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_418412	Human	Europe / France / ARA / Privas	FR	FRA	France	Auvergne-Rhone-Alpes	Western Europe	Europe
EPI_ISL_419743	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_418419	Human	Europe / France / ARA / Lyon	FR	FRA	France	Auvergne-Rhone-Alpes	Western Europe	Europe
EPI_ISL_418418	Human	Europe / France / ARA / Lyon	FR	FRA	France	Auvergne-Rhone-Alpes	Western Europe	Europe
EPI_ISL_419749	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_418417	Human	Europe / France / ARA / Valence	FR	FRA	France	Auvergne-Rhone-Alpes	Western Europe	Europe
EPI_ISL_419748	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_418416	Human	Europe / France / ARA / Venissieux	FR	FRA	France	Auvergne-Rhone-Alpes	Western Europe	Europe
EPI_ISL_419747	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_418409	Human	Europe / Finland / Helsinki	FI	FIN	Finland	Helsinki	Northern Europe	Europe
EPI_ISL_420728	Human	Europe / United Kingdom / England	GB	GBR	United Kingdom	England	Northern Europe	Europe
EPI_ISL_420727	Human	Europe / United Kingdom / England	GB	GBR	United Kingdom	England	Northern Europe	Europe
EPI_ISL_420729	Human	Europe / United Kingdom / England	GB	GBR	United Kingdom	England	Northern Europe	Europe
EPI_ISL_420724	Human	Europe / United Kingdom / England	GB	GBR	United Kingdom	England	Northern Europe	Europe
